Competitor,Country Code ,Country,City Code,City,Restaurant Name,Tag 1,Tag 2,Food tag 3,Delivery price,Delivery Time,Rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Guayacos Pizza,Pizza,Sánduches,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,PicanterÃ­a DoÃ±a Rosa,Pescados y Mariscos,Pollo,NULL,"$2,50",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Burger Six,"Hamburguesas,",Pollo,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Isamaburger,Hamburguesas,Ecuatoriana,NULL,"$2,00",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Maramia,Internacional,Hot Dog,NULL,"$2,20",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Humitas Pe-pepe,Ecuatoriana,Pollo,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Sushi Pop,Sánduches,Desayuno,NULL,"$1,70",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,McDonald's,Hamburguesas,Pollo,NULL,"$1,90",30 min,4.6,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Mayflower,"Asiática,",Sánduches,NULL,"$2,00",37 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Buffalo's,"Parrilla,",Pollo,NULL,"$1,90",30 min,4.9,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Ups Salad,Saludable,Desayuno,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Crepes del Nino,Internacional,Desayuno,NULL,"$2,30",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,La TÃ­pica,"Ceviches,",Ecuatoriana,NULL,"$1,90",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Persadi Pizza,Pizza,Postres,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,La Waffleria,Postres,Postres,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Piu Pizza,Pizza,"Pollo,",NULL,"$2,70",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Hayakel,Árabe,"Parrilla,",NULL,"$2,70",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,D' Prisa,"Hamburguesas,",Postres,NULL,"$2,30",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Punto Brasa,"Ecuatoriana,",Ecuatoriana,NULL,"$2,70",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Yogurt Persa,Panadería,Ecuatoriana,NULL,"$1,90",37 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,PicanterÃ­a Delicias del norte,"Ecuatoriana,",Pollo,NULL,"$2,40",30 min,4.6,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Pizzeria el Hornero,"Pizza,",Pollo,NULL,"$2,70",30 min,4.9,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Micky Davy's,Hamburguesas,Pollo,NULL,"$2,80",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Deli Oh!,"Hamburguesas,",Desayuno,NULL,"$2,00",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Gong,Asiática,,NULL,"$2,30",30 min,4.8,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Italian Deli,"Pizza,",,NULL,"$2,00",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Stav,Pollo,,NULL,"$2,30",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Juan Tonga,"Ecuatoriana,",,NULL,"$2,30",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Chokolat,Postres,,NULL,"$1,90",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Verde Guayaco,Desayuno,,NULL,"$2,30",37 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,My Waffles,"Postres,",,NULL,"$2,30",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,La Parrilla,"Parrilla,",,NULL,"$2,40",30 min,4.3,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Ville Crepes,"Internacional,",,NULL,"$2,30",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,CafeterÃ­a Tortuga Express,Desayuno,,NULL,"$2,20",30 min,4.5,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Malek al Shawarma,Mexicana,,NULL,"$2,70",30 min,4.7,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Gran Chifa,Asiática,,NULL,"$2,70",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Pizza Hut,Pizza,,NULL,"$2,30",30 min,4.7,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Chef's Subs & Grill,Sánduches,,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,Yelfrost,"Helados,",,NULL,"$1,90",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,La Parrilla de Alejandro,Parrilla,,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,GYE,Guayaquil,El Rey del Shawarma,Árabe,,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Wanna Wings Shyris,Alitas,,NULL,"$1,70",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Mizu Sushi Bar,Sushi,,NULL,"$1,70",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Mega Shawarma Tabbouleh,Árabe,,NULL,"$2,50",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Pizza Hut,Pizza,,NULL,"$2,50",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,La Vecindad de los Cuates,"Mexicana,",,NULL,"$2,00",30 min,4.4,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Inka Burger,Hamburguesas,,NULL,"$1,70",30 min,4.5,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Los Bifes de la Vaca,Parrilla,,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Segundo Muelle,"Peruana,",,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Chios Burger,Hamburguesas,,NULL,"$2,00",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Toke Bar & Creams,Pescados y Mariscos,,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Movie House Pizza,Pizza,,NULL,"$2,30",30 min,4.8,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Lucia's House,"Parrilla,",,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,La Calaca En Bicicleta,Mexicana,,NULL,"$2,30",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Las Palmeras,"Pescados y Mariscos,",,NULL,"$1,70",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,la yama el mejor shawarma,Sushi,,NULL,"$2,30",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,La Parrilla de Homero,"Parrilla,",,NULL,"$2,00",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,McDonald's,Hamburguesas,,NULL,"$1,70",30 min,4.8,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Mayflower,"Asiática,",,NULL,"$1,90",37 min,4.3,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Buffalo's,"Parrilla,",,NULL,"$1,80",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Abysmo Gastro Pub,Parrilla,,NULL,"$2,50",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Pizza Express Quito,Pizza,,NULL,"$2,50",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Yogurt Persa,Panadería,,NULL,"$2,80",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,PizzerÃ­a los TÃ­os,Pizza,,NULL,"$2,00",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Empanadas Company,Pescados y Mariscos,,NULL,"$2,50",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,El Atoradero del Gordo Torteria,Postres,,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,O'chick,Pollo,,NULL,"$1,90",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Dary Burger Foch,Postres,,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Katsup Burger,Vegetariana,,NULL,"$1,90",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Khalifa,Árabe,,NULL,"$1,90",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Sierra Fast Food,"Hamburguesas,",,NULL,"$2,40",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,El RincÃ³n del Verde,Desayuno,,NULL,"$2,00",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,La Costa SeaFood,Pescados y Mariscos,,NULL,"$2,00",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,La PaleterÃ­a By Alex Quito,Helados,,NULL,"$1,80",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Sushimoto Express,Sushi,,NULL,"$2,00",30 min,4.9,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Don BolÃ³n,Desayuno,,NULL,"$2,00",30 min,4.7,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Sushi Shop,Sushi,,NULL,"$2,20",30 min,no rating,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Shawarma Kadir,Árabe,,NULL,"$2,20",30 min,4.6,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Kobe,Sushi,,NULL,"$2,50",50 min,4,,,,,,,
Rappi,EC,Ecuador,QUI,Quito,Arenas,"Panadería,",,NULL,"$2,00",30 min,no rating,,,,,,,
