"Str. Martin Nicoara Elena, Nr. 3","Marți  10:00 - 21:45
Miercuri  10:00 - 21:45
Joi  10:00 - 21:45
Vineri  11:00 - 23:45
Sâmbătă  11:00 - 23:45
"
"Str. Salcamilor, Nr. 32","Luni  11:00 - 21:30
Marți  11:00 - 21:30
Miercuri  11:00 - 21:30
Joi  11:00 - 21:30
Vineri  11:00 - 21:30
Sâmbătă  11:00 - 21:30
Duminică  11:00 - 21:30
"
Str.Francesco Griselini Nr.2,"Luni  10:30 - 15:30
Marți  10:30 - 15:30
Miercuri  10:30 - 15:30
Joi  10:30 - 15:30
Vineri  10:30 - 15:30
"
Str. Gheorghe Lazar Nr. 26 ( Langa Kaufland ),"Luni  11:00 - 19:45
Marți  11:00 - 19:45
Miercuri  11:00 - 19:45
Joi  11:00 - 19:45
Vineri  11:00 - 19:45
Sâmbătă  13:00 - 19:45
"
"Str. Martin Nicoara Elena, Nr. 3","Marți  10:00 - 21:45
Miercuri  10:00 - 21:45
Joi  10:00 - 21:45
Vineri  11:00 - 23:45
Sâmbătă  11:00 - 23:45
"
Calea Torontalului nr. 1A,"Luni  11:00 - 24:00
Marți  11:00 - 24:00
Miercuri  11:00 - 24:00
Joi  11:00 - 24:00
Vineri  11:00 - 24:00
Sâmbătă  11:00 - 24:00
Duminică  11:00 - 24:00
"
"Str. Miresei, nr.1","Luni  11:00 - 21:30
Marți  11:00 - 21:30
Miercuri  11:00 - 21:30
Joi  11:00 - 21:30
Vineri  11:00 - 21:30
Sâmbătă  11:00 - 21:30
Duminică  11:00 - 21:30
"
"Str. Avram Imbroane, Nr.90","Luni  11:00 - 20:00
Marți  10:00 - 18:00
Miercuri  10:00 - 18:00
Joi  11:00 - 20:00
Vineri  11:00 - 20:00
Sâmbătă  11:00 - 20:00
Duminică  11:00 - 20:00
"
"Piata Unirii, nr.4","Luni  11:00 - 22:00
Marți  11:00 - 22:00
Miercuri  11:00 - 22:00
Joi  11:00 - 22:00
Vineri  11:00 - 22:00
Sâmbătă  11:00 - 22:00
Duminică  11:00 - 22:00
"
"Str. Semenic, Nr. 22","Luni  11:00 - 22:00
Marți  11:00 - 22:00
Miercuri  11:00 - 22:00
Joi  11:00 - 22:00
Vineri  11:00 - 22:00
Sâmbătă  11:00 - 22:00
Duminică  12:00 - 22:00
"
blv.Vasile Parvan nr. 9,"Luni  10:00 - 20:00
Marți  10:00 - 20:00
Miercuri  10:00 - 20:00
Joi  10:00 - 20:00
Vineri  10:00 - 20:00
Sâmbătă  11:00 - 20:00
Duminică  11:00 - 20:00
"
Splaiul Nistrului nr. 1,"Luni  11:00 - 20:30
Marți  11:00 - 20:30
Miercuri  11:00 - 20:30
Joi  11:00 - 20:30
Vineri  11:00 - 20:30
Sâmbătă  11:00 - 20:30
Duminică  11:00 - 20:30
"
Strada GOSPODARILOR NR 13,"Luni  10:00 - 16:00
Marți  10:00 - 16:00
Miercuri  10:00 - 16:00
Joi  10:00 - 16:00
Vineri  10:00 - 16:00
"
Str. Vadul Calugareni nr.1,"Luni  12:00 - 20:30
Marți  12:00 - 20:30
Miercuri  12:00 - 20:30
Joi  12:00 - 20:30
Vineri  12:00 - 20:30
Sâmbătă  12:00 - 20:30
Duminică  12:00 - 20:30
"
Ion Mihalache Nr 4,"Luni  12:00 - 22:00
Marți  11:15 - 21:30
Miercuri  12:00 - 22:00
Joi  12:00 - 22:00
Vineri  12:00 - 22:00
Sâmbătă  12:00 - 22:00
Duminică  12:00 - 19:30
"
"Str. Vasile Alecsandri, Nr. 3 SAD 1/A","Luni  09:00 - 21:00
Marți  09:00 - 21:00
Miercuri  09:00 - 21:00
Joi  09:00 - 21:00
Vineri  09:00 - 21:00
Sâmbătă  10:00 - 21:00
Duminică  10:00 - 21:00
"
"STR. CORIOLAN BREDICEANU, NR 2","Luni  10:00 - 21:00
Marți  10:00 - 21:00
Miercuri  10:00 - 21:00
Joi  10:00 - 21:00
Vineri  10:00 - 21:00
Sâmbătă  10:00 - 21:00
Duminică  10:00 - 21:00
"
